Year,Crop,Consumer Trend,Population Growth Rate (%),Economic Indicator (%),Projected Demand (Tons)
2020,Cabbage,Medium,2.3,3.2,2500
2020,Spinach,Medium,3.2,2.5,2606
2020,Carrots,High,3.3,2.6,1325
2020,Onions,Medium,2.8,3.8,1665
2020,Tomatoes,Low,3.0,2.8,2271
2020,Lettuce,High,2.0,2.9,2725
2020,Broccoli,Low,2.7,1.9,2543
2020,Cauliflower,Medium,2.5,2.3,2534
2020,Peppers,High,2.6,2.0,2877
2020,Eggplant,Low,1.8,3.5,2182
2020,Zucchini,High,2.9,3.3,2869
2020,Pumpkin,Medium,1.6,2.1,2768
2020,Squash,Medium,2.4,1.8,2098
2020,Radishes,Low,3.0,2.3,1750
2020,Daikon Radish,Medium,2.3,3.7,2326
2020,Turnips,High,2.4,2.7,2558
2020,Kale,Low,2.2,3.1,2049
2020,Swiss Chard,High,1.8,3.6,2263
2020,Celery,Low,2.9,3.3,2740
2020,Leeks,Medium,2.0,2.2,2649
2020,Artichokes,Low,2.3,4.4,1713
2020,Asparagus,Medium,2.4,1.7,1919
2020,Bok Choy,High,3.5,2.5,1508
2020,Brussels Sprouts,Medium,2.8,3.9,1160
2020,Collard Greens,Medium,2.1,2.6,2060
2020,Endive,High,2.9,4.4,1891
2020,Fennel,Medium,1.5,2.6,2579
2020,Garlic,Medium,2.1,4.5,2560
2020,Horseradish,High,2.6,3.5,2120
2020,Jicama,Medium,2.1,4.0,1971
2020,Kohlrabi,High,1.8,4.3,1812
2020,Okra,Medium,3.5,2.0,1013
2020,Parsnips,Medium,2.3,4.3,2392
2020,Rutabaga,Medium,2.2,1.5,2157
2020,Scallions,Low,2.7,3.5,2733
2020,Shallots,Low,2.2,3.3,2641
2020,Snow Peas,High,2.1,4.4,2567
2020,Snap Peas,Low,3.0,1.9,1176
2020,Watercress,Medium,1.8,2.6,2229
2020,Arugula,Medium,2.0,1.5,2400
2020,Mustard Greens,Medium,1.7,3.4,1817
2020,Purslane,Low,2.1,4.1,2051
2020,Sorrel,Medium,1.7,2.4,1760
2020,Tatsoi,Medium,2.2,3.0,1533
2020,Mizuna,High,2.4,2.9,2125
2020,Mibuna,Medium,3.3,1.8,2138
2020,Celtuce,Medium,1.6,2.8,1828
2020,Chinese Broccoli,Medium,3.3,1.6,2633
2020,Chinese Cabbage,Low,1.7,3.4,2591
2020,Napa Cabbage,High,3.4,4.2,2836
2020,Amaranth Greens,Medium,3.5,4.1,2523
2020,Malabar Spinach,Low,3.4,3.6,1223
2020,New Zealand Spinach,Medium,2.4,3.0,2456
2020,Water Spinach,Low,2.9,2.4,1761
2020,Sweet Corn,Medium,1.6,1.9,2459
2020,Bulgur,Medium,3.3,1.6,1326
2020,Maize,High,3.2,3.9,1548
2020,Sorghum,Medium,2.9,3.3,1626
2020,Wheat,Low,2.7,2.0,1719
2020,Barley,Low,2.0,2.1,1098
2020,Millet,Medium,1.6,3.8,1618
2020,Oats,Low,2.4,3.9,1548
2020,Rye,Low,2.4,2.4,1422
2020,Triticale,Low,2.1,4.2,1789
2020,Quinoa,High,2.2,4.5,2558
2020,Amaranth,High,3.4,3.1,2575
2020,Buckwheat,Medium,1.8,3.1,1146
2020,Spelt,Low,1.5,3.4,2841
2020,Teff,Medium,1.6,2.8,1774
2020,Fonio,Low,2.8,3.7,2773
2020,Kañiwa,High,2.0,2.7,2498
2020,Job’s Tears,High,2.8,4.3,1082
2020,Wild Rice,High,3.4,1.9,1055
2020,Einkorn,High,1.8,4.1,1411
2020,Green Luobo,Low,2.8,2.4,2177
2020,Beans,Low,2.9,3.9,1536
2020,Peas,Low,2.3,4.2,1483
2020,Lentils,Low,1.8,2.5,2670
2020,Chickpeas,High,1.6,2.6,1977
2020,Soybeans,High,2.8,3.8,1407
2020,Cowpeas,Medium,3.1,3.7,1028
2020,Pigeon Peas,Medium,3.5,4.1,1669
2020,Lupins,Low,3.1,2.6,2470
2020,Mung Beans,Medium,1.5,2.2,1988
2020,Black Beans,Low,2.5,3.5,2190
2020,Kidney Beans,Medium,1.7,4.1,1265
2020,Navy Beans,Low,2.4,2.7,1463
2020,Pinto Beans,Medium,3.1,2.8,2190
2020,Adzuki Beans,High,2.1,3.1,1919
2020,Fava Beans,Low,1.5,3.0,1728
2020,Lima Beans,High,2.7,2.3,1811
2020,Black-eyed Peas,Low,2.8,2.3,2398
2020,"Lentils (Red, Green, Brown)",Medium,1.6,2.2,1789
2020,Winged Beans,Medium,2.2,2.6,1063
2020,Hyacinth Beans,High,2.8,2.2,1028
2020,Velvet Beans,High,2.3,1.6,2333
2020,Sword Beans,Medium,2.8,1.6,2494
2020,Tepary Beans,Low,2.0,2.0,2313
2020,White Icicle Radish,High,2.5,4.4,2458
2020,Basil,Low,3.0,2.4,2631
2020,Parsley,Medium,2.5,1.9,1307
2020,Cilantro,High,2.0,1.7,1695
2020,Mint,Medium,2.9,2.1,1816
2020,Thyme,High,1.9,3.3,1314
